genus,species,infrarank,infraspecies,stz,ind_stz,contract,priority,priority_source
Astragalus,lonchocarpus,,,Climate-matched species specific,"1,2,3,4",COPL,High,BLM
Bouteloua,gracilis,,,Climate-matched species specific,"5,8,10",COPL,High,BLM
Cleome,lutea,,,Landscape genetic,"1,2",COPL,High,BLM
Heliomeris,multiflora,,,Climate-matched species specific,"9,10",COPL,High,BLM
Macheranthera,canescens,,,Landscape genetic,"1,2",COPL,High,BLM
Macheranthera,tanacetifolia,,,Desert SW provisional,"1,2,3,4,8",COPL,High,BLM
Packera,multilobata,,,Desert SW provisional,"1,2,3,4,8",COPL,High,BLM
Pascopyrum,smithii,,,Desert SW provisional,"1,2,3,4",COPL,High,BLM
Pleuraphis,jamesii,,,Landscape genetic,3,COPL,High,BLM
Sporobolus,cryptandrus,,,Landscape genetic,2,COPL,High,BLM
Astragalus,lentiginosus,var. ,chartaceus,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Aristida,purpurea,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Chaenactis,douglasii,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Cleome,serrulata,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Cymopterus,bulbosus,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Cymopterus,purpureus,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Eriogonum,cernuum,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Eriogonum,fusiforme,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Eriogonum,shockleyi,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Helianthus,annuus,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Heliomeris,multiflora,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Hesperostipa,comata,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Heterotheca,villosa,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Lomatium,grayi,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Lomatium,dissectum,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Machaeranthera,gracilis,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Machaeranthera,pinnatifida,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Mentzelia,albicaulis,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Mentzelia,multiflora,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Penstemon,palmeri,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Phacelia,crenulata,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Pseudoroegneria,spicata,,,Desert SW provisional,"1,2,3,4",COPL,Medium,BLM
Senecio,spartioides,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Sphaeralcea,coccinea,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Sporobolus,airoides,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Stanleya,pinnata,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Thelesperma,megapotamicum,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Vulpia,octoflora,,,Desert SW provisional,"1,2,3,4,8",COPL,Medium,BLM
Achnatherum,hymenoides,,,Empirical,"M1H2L3,L1H2H3",COPL,Low,BLM
Elymus,elymoides,,,Climate-matched species specific,"3,4",COPL,Low,BLM
Koeleria,macrantha,,,Climate-matched species specific,"1,2",COPL,Low,BLM
Achnatherum,hymenoides,,,Empirical,"L1L2H3, M1L2H3, M1H2H3",CEDAR CITY,High,BLM
Elymus,elymoides,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Hesperostipa,comata,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Poa,secunda,,,Empirical,"M1L2L3M M1H2L3, L1H2L3, L1L2L3",CEDAR CITY,High,BLM
Chaenactis,douglasii,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Machaeranthera,canescens,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Phacelia,hastata,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Agoseris,glauca,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Asclepias,speciosa,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Balsamorhiza,sagittata,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Crepis,acuminata,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Eriogonum,ovalifolium,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Eriogonum,umbellatum,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Lomatium,dissectum,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Lomatium,nudicaule,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Sphaeralcea,grossulariifolia,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Sphaeralcea,munroana,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,High,BLM
Achnatherum,thurberianum,,,Empirical,"4, 8, 5",CEDAR CITY,Low,BLM
Festuca,idahoensis,,,Provisional,"15-20 Deg/3-6, 15-20 Deg/6-12, 10-15 Deg/6-12, 20-25 Deg. F./3-6, 20-25 Deg. F./6-12",CEDAR CITY,Low,BLM
