GENUS,SPECIES,COLLECTION,CONTRACT,PRIORITY,STZ,STZ_NUMBER
Astragalus,lonchocarpus,OPERATIONAL,COPL,HIGH,Climate-matched,"1,2,3,4"
Bouteloua,gracilis,OPERATIONAL,COPL,HIGH,Climate-matched,"5,8,10"
Cleome,lutea,OPERATIONAL,COPL,HIGH,Landscape genetic,"1,2"
Heliomeris,multiflora,OPERATIONAL,COPL,HIGH,Climate-matched,"9,10"
Machaeranthera,canescens,OPERATIONAL,COPL,HIGH,Landscape genetic,"1,2"
Machaeranthera,tanacetifolia,OPERATIONAL,COPL,HIGH,Southwest Provisional,"1,2,3,4,8"
Packera,multilobata,OPERATIONAL,COPL,HIGH,Southwest Provisional,"1,2,3,4,8"
Pascopyrum,smithiii,OPERATIONAL,COPL,HIGH,Southwest Provisional,"1,2,3,4"
Pleuraphis,jamesii,OPERATIONAL,COPL,HIGH,Landscape genetic,3
Sporobolus,cryptandrus,OPERATIONAL,COPL,HIGH,Landscape genetic,2
Astragalus,lentiginosus,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Astragalus,mollissimus,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Aristida,purpurea,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Asclepias,spp.,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Chaenactis,douglasii,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Cleome,serrulata,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Cymopterus,bulbosus,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Cymopterus,spp.,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Eriogonum,cernuum,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Eriogonum,fusiforme,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Eriogonum,shockleyi,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Helianthus,annuus,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Heliomeris,multiflora,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Hesperostipa,comata,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Heterotheca,villosa,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Lomatium,spp.,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Machaeranthera,gracilis,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Machaeranthera,pinnatifida,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Mentzelia,albicaulis,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Mentzelia,multiflora,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Penstemon,palmeri,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Penstemon,spp.,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Phacelia,crenulata,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Pseudoroegneria,spicata,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4"
Senecio,spartioides,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Senecio,spp.,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Sphaeralcea,coccinea,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
Sporobolus,airoides,OPERATIONAL,COPL,MEDIUM,Southwest Provisional,"1,2,3,4,8"
