"siteID","wgt","scntfcn","accessr","dtcllct","collctr","doy","uuid"
"Base-001",15.4063054187192,"achnatherum hymenoides","https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0061/ASU0061933_lg.jpg",1976-05-24,"steve bingham",145,"92f6f8ea-fe14-428e-9b2e-fc56b2bd38b4"
"Base-002",13.789594356261,"achnatherum hymenoides","https://api.idigbio.org/v2/media/5004a556fde4576cd90e621c763ceed6",1981-06-11,"lm shultz",162,"74e4cba0-35f6-483c-b03d-a982e2c40331"
"Base-003",15.6217782217782,"achnatherum hymenoides","https://www.pnwherbaria.org/images/jpeg.php?Image=IDS0073630.jpg",2018-05-23,"james f. smith",143,"ee071c8c-5e2f-4649-95c3-230c08a707b9"
"Base-004",10.3902990033223,"achnatherum hymenoides","https://intermountainbiota.org/imglib/seinet/swnode/DBG_KHD/KHD00071/KHD00071519_lg.jpg",2018-08-03,"christina alba",215,"95cb6a37-32ea-4e5d-873d-6eb5eb8e0992"
"Base-005",13.21842772612,"achnatherum hymenoides","https://cch2.org/imglib/cch2/SBBG/SBBG226/SBBG226504_lg.JPG",1999-06-18,"r. g. swinney",169,"886e9587-1d74-46c6-89c2-ed1580c7de73"
"Base-006",10.1082094376212,"achnatherum hymenoides","http://n2t.net/ark:/65665/m3b0068eb0-54fc-4f6f-a9d5-5754b1555a07",2013-08-09,"e. p. johnson & p. west",221,"290c5a5d-800d-45fd-827f-27cf0d72cce1"
"Base-007",11.2256999282125,"achnatherum hymenoides","https://www.pnwherbaria.org/images/jpeg.php?Image=IDS0067115.jpg",1979-07-18,"thomas dieffenbach",199,"00c09c87-bad0-4ad1-84d0-d376bb2cc8ce"
"Base-008",15.4063054187192,"achnatherum hymenoides","https://api.idigbio.org/v2/media/c5de7800e3750de14fe6a22fc768e8ad",1979-05-25,"wa weber",145,"d969f6e2-3f01-46b8-8a27-cb28767b93a5"
"Base-009",8.82970073404856,"achnatherum hymenoides","https://api.idigbio.org/v2/media/abd5e5071f010d3c51931106e3343900",1977-09-10,"l. paulik",253,"940e3e9d-a2ee-41e5-8980-50c90a7a744a"
"Base-010",11.8825227963526,"achnatherum hymenoides","https://api.idigbio.org/v2/media/79f7d6ee8518238f6e76083ead01f3e9",2009-07-07,"g. rink",188,"44f07eb5-dff7-45ee-bf71-0690f6b89df5"
